user_id,R,F,M,R_score,F_score,M_score,RFM,label
2270,2,1,91.4,1,0,0,100,一般发展用户
2273,1,8,712.1,1,1,1,111,核心价值用户
2274,2,2,186.4,1,1,0,110,高潜力用户
2276,2,8,639.4,1,1,1,111,核心价值用户
2277,1,4,1033.0,1,1,1,111,核心价值用户
2279,2,1,46.3,1,0,0,100,一般发展用户
2280,2,2,233.0,1,1,1,111,核心价值用户
2281,6,2,188.0,0,1,0,010,一般保持用户
2282,1,3,548.6,1,1,1,111,核心价值用户
2283,2,1,122.69999999999999,1,0,0,100,一般发展用户
2284,3,1,241.5,0,0,1,001,高消费沉睡用户
2285,2,2,140.7,1,1,0,110,高潜力用户
2286,1,3,537.5,1,1,1,111,核心价值用户
